ElapsedTime,Class1,Class2,Class3,Class4,BestClass
44.54473,72.90428,71.55372,63.42869,63.09871,3
44.56172,72.90428,71.55372,63.42869,63.09871,3
44.5787,72.90428,71.55372,63.42869,63.09871,3
44.59523,72.90428,71.55372,63.42869,63.09871,3
44.61208,72.90428,71.55372,63.42869,63.09871,3
44.62897,72.90428,71.55372,63.42869,63.09871,3
44.64577,72.90428,71.55372,63.42869,63.09871,3
44.66302,72.90428,71.55372,63.42869,63.09871,3
44.67998,72.90428,71.55372,63.42869,63.09871,3
44.69632,72.90428,71.55372,63.42869,63.09871,3
44.71317,72.90428,71.55372,63.42869,63.09871,3
44.73558,72.90428,71.55372,63.42869,63.09871,3
44.74719,72.90428,71.55372,63.42869,63.09871,3
44.76372,72.90428,71.55372,63.42869,63.09871,3
44.78117,72.90428,71.55372,63.42869,63.09871,3
44.79742,72.90428,71.55372,63.42869,63.09871,3
44.81427,72.90428,71.55372,63.42869,63.09871,3
44.83112,72.90428,71.55372,63.42869,63.09871,3
44.84814,72.90428,71.55372,63.42869,63.09871,3
44.8651,71.08578,69.17135,76.26865,62.50172,3
44.88166,71.08578,69.17135,76.26865,62.50172,3
44.89851,71.08578,69.17135,76.26865,62.50172,3
44.91536,71.08578,69.17135,76.26865,62.50172,3
44.93227,71.08578,69.17135,76.26865,62.50172,3
44.94926,71.08578,69.17135,76.26865,62.50172,3
44.96591,71.08578,69.17135,76.26865,62.50172,3
44.98276,71.08578,69.17135,76.26865,62.50172,3
45.00033,71.08578,69.17135,76.26865,62.50172,3
45.01646,71.08578,69.17135,76.26865,62.50172,3
45.03333,71.08578,69.17135,76.26865,62.50172,3
45.05016,71.08578,69.17135,76.26865,62.50172,3
45.06701,71.08578,69.17135,76.26865,62.50172,3
45.08427,71.08578,69.17135,76.26865,62.50172,3
45.1007,71.08578,69.17135,76.26865,62.50172,3
45.11756,71.08578,69.17135,76.26865,62.50172,3
45.13456,71.08578,69.17135,76.26865,62.50172,3
45.15158,71.08578,69.17135,76.26865,62.50172,3
45.16861,71.08578,69.17135,76.26865,62.50172,3
45.18495,71.08578,69.17135,76.26865,62.50172,3
45.20264,71.08578,69.17135,76.26865,62.50172,3
45.21865,71.08578,69.17135,76.26865,62.50172,3
45.2356,71.08578,69.17135,76.26865,62.50172,3
45.25234,71.08578,69.17135,76.26865,62.50172,3
45.26962,71.08578,69.17135,76.26865,62.50172,3
45.28604,71.08578,69.17135,76.26865,62.50172,3
45.30289,71.08578,69.17135,76.26865,62.50172,3
45.31974,71.08578,69.17135,76.26865,62.50172,3
45.33675,71.08578,69.17135,76.26865,62.50172,3
45.35375,71.08578,69.17135,76.26865,62.50172,3
45.37082,71.08578,69.17135,76.26865,62.50172,3
45.38781,71.08578,69.17135,76.26865,62.50172,3
45.40398,71.08578,69.17135,76.26865,62.50172,3
45.42093,71.08578,69.17135,76.26865,62.50172,3
45.43768,71.08578,69.17135,76.26865,62.50172,3
45.45507,71.08578,69.17135,76.26865,62.50172,3
45.47138,71.08578,69.17135,76.26865,62.50172,3
45.48823,71.08578,69.17135,76.26865,62.50172,3
45.50525,71.08578,69.17135,76.26865,62.50172,3
45.52193,71.08578,69.17135,76.26865,62.50172,3
45.53922,71.08578,69.17135,76.26865,62.50172,3
